log_count,logs_per_second,logs_per_second_std,time_seconds_mean,time_seconds_std,chunk_size_kb
1000,125869.31666031502,32973.05286419366,0.008387520001269877,0.0021426287201769694,16.0
5000,158904.82851511938,20822.76754894044,0.0319132799981162,0.0042854222117710925,16.0
10000,134850.61278799726,18558.479650927653,0.0754012599994894,0.011355847351533338,16.0
50000,146376.18477871787,7153.957175734283,0.34222168000414965,0.016277646914461683,16.0
100000,138849.50617225753,11755.709871945366,0.7241479200019967,0.05835591775293471,16.0
