index,generation_time_ms,proof_size_bytes,proof_length
0,22.478818893432617,1106,14
2500,21.67034149169922,1101,14
5000,22.17841148376465,1101,14
7500,22.489547729492188,1099,14
9999,20.791292190551758,624,8
